File Path,Function,Input Parameters,Output Parameters,Description 1 (Revised),Description 2 (Revised),Description 3 (Revised),Description 4 (Revised),Description 5 (Revised)
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/sample_measurement/measurement.py","main","verbosity: int","return: None","Entry point for a sample script, controlling logging output with a verbosity setting. Useful for demonstrating data type handling.","Runs the main logic of a sample measurement example, where a verbosity level adjusts the detail of diagnostic messages related to processing various input types.","Orchestrates a sample test, setting a verbosity level for runtime information. Showcases input and output parameter mapping for various data structures.","Top-level function for a data handling demonstration. A verbosity argument sets the log level for observing data flow and type conversions.","Initializes and executes a sample example designed to test the handling of diverse data types. A verbosity input controls logging detail."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/sample_measurement/measurement.py","cancel_callback","","return: None","A callback designed to handle cancellation requests during a process. It is parameter-less and has no direct return value.","Invoked when a test sequence or operation needs premature termination, ensuring a controlled shutdown.","Provides a mechanism to interrupt an ongoing operation. This callback is registered and called by the system upon a cancellation signal.","Placeholder or implementation for a cancellation event handler. Triggered to stop a running test or data acquisition.","A simple callback function that signals a stop or cancellation. It has no direct inputs from the main flow and produces no direct output values, acting via side effects."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidaqmx_analog_input/measurement.py","measure","pin_name: str;sample_rate: float;number_of_samples: int","return: tuple[list[float]];acquired_samples: nims.DataType.DoubleArray1D","Acquires a set of analog voltage readings from a specified input channel using a DAQmx device. Configures the acquisition rate and the quantity of readings to collect. Returns an array of the captured readings.","Performs an analog input measurement. Reads a defined quantity of data points from the channel at a given sampling frequency. The output is a collection of these acquired data points.","Initiates a finite analog data acquisition on a DAQ device. Specifies the input channel, the ADC's sampling frequency, and the number of data points in the record. The acquired readings are returned for analysis.","Measures analog voltage on a single channel. Key acquisition parameters are the sampling frequency and the count of data points. The function outputs the list of acquired readings.","Configures a DAQmx task to read a specific number of data points from an analog input channel at a defined sampling frequency. The result, a list of voltage readings, is returned."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidaqmx_analog_input/measurement.py","_log_measured_values","samples: list[float];max_samples_to_display: int","return: None","Logs a subset of acquired analog readings to an output stream. A parameter limits the number of readings printed for brevity.","Utility to display or record measured voltage readings. Prints up to a specified maximum from the input data list for quick verification or debugging.","Outputs a portion of measured data. Takes the full list of readings and an integer limit to control how many data points are shown.","A helper for logging purposes. It takes the ADC readings and a display limit to provide a snapshot of the acquired analog signal.","Prints a limited number of readings from an analog input acquisition to aid in debugging or immediate data review, controlled by a display cap."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidaqmx_analog_input/measurement.py","main","verbosity: int","return: None","Main execution function for a DAQmx analog input example. A verbosity setting controls the level of detail in log messages during the voltage acquisition.","Entry point for demonstrating analog data acquisition using DAQmx. A verbosity level adjusts the amount of runtime information displayed.","Orchestrates a DAQmx analog input measurement process. A verbosity parameter dictates the logging output for the data acquisition steps.","Top-level function for a DAQmx analog input example. It uses a verbosity input to manage the detail of log messages.","Initializes and runs a DAQmx analog input measurement. A verbosity setting controls how much information about the acquired readings and process is logged."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidaqmx_analog_input/measurement.py","cancel_callback","","return: None","A callback triggered to cancel an ongoing DAQmx acquisition task. It does not take specific measurement parameters and returns no data.","Handles cancellation requests for a DAQmx analog input operation, ensuring any active DAQ tasks are properly stopped.","Provides a clean interruption mechanism for an analog input measurement sequence. Invoked when a cancellation is requested.","A cancellation callback specifically for DAQmx operations. Responsible for halting the data acquisition process when a stop signal is received.","Simple callback to signal cancellation of a DAQmx measurement. It's parameter-less and does not return a value, focusing on side effects like stopping an acquisition task."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/game_of_life/measurement.py","measure","width: int;height: int;update_interval_msec: int;max_generations: int","return: Generator[tuple[xydata_pb2.DoubleXYData, int], None, None];game_of_life: nims.DataType.DoubleXYData;generation: nims.DataType.UInt32","Simulates Conway's Game of Life on a grid of specified dimensions. The simulation progresses for a maximum number of iterations, updating at a defined interval. Yields XY data of live cells and the current iteration number at each step.","Runs a Game of Life simulation. Takes grid dimensions, refresh rate, and total iterations. The generator returns live cell coordinates and the iteration count iteratively.","Generates successive states of Conway's Game of Life. Inputs define board dimensions, update interval for visualization, and simulation length. Output per iteration includes live cell data and the iteration index.","Performs a cellular automaton simulation (Game of Life). Grid size, update speed, and duration are parameterized. It yields live cell data and current iteration number.","A T&M style wrapper for simulating Game of Life. Initializes a board of given dimensions, runs for a set number of iterations with a specific update interval. Live cell XY plot data and iteration count are yielded for live visualization."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/game_of_life/measurement.py","_initialize_xydata_and_frame","width: int;height: int","return: xydata_pb2.DoubleXYData","Initializes an XY data structure for representing the Game of Life grid of given dimensions. Used for plotting live cells.","Creates and configures an XY data object based on the simulation dimensions. This structure will hold the coordinates of active cells for display.","Helper function to set up the data container for Game of Life visualization. Takes grid dimensions and returns an empty XY data object.","Prepares the XY data frame for Game of Life visualization, defining its boundaries based on the input grid dimensions.","Internal function to allocate and initialize the XY data structure used to transfer cell coordinates from the simulation grid to a plotting utility."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/game_of_life/measurement.py","_initialize_grid_with_seeded_data","rows: int;cols: int;probability: float","return: Grid","Initializes the Game of Life grid with a specified number of rows and columns, populating cells randomly based on a given probability of a cell being alive.","Creates a new grid of given size and seeds it with initial live cells. Each cell has a certain chance of starting alive, used for starting the simulation.","Sets up the initial state of the Game of Life grid. Dimensions are defined, and a probability factor determines the density of the initial random pattern.","Helper to create and populate the game grid. It takes size parameters and a probability factor to randomly set initial live cells before the simulation starts.","Constructs the initial grid for the Game of Life. The grid has defined rows and columns, and cells are activated based on a probability, returning the seeded grid."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/game_of_life/measurement.py","_initialize_grid","rows: int;cols: int","return: Grid","Initializes an empty Game of Life grid with a specified number of rows and columns. All cells are initially inactive.","Creates a new grid object with dimensions defined by row and column counts. This grid is returned with all cell states set to inactive, ready for population.","Sets up a blank grid for the Game of Life simulation, with the specified row and column counts. No cells are active in this initial state.","Helper function to create an empty game grid of a given size. This is often a precursor to seeding it with a pattern.","Constructs and returns a grid structure with the given row and column counts, where every cell's initial state is inactive."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/game_of_life/measurement.py","_count_neighbors","grid: Grid;row: int;col: int","return: int","Counts the number of live neighbors for a specific cell at a given row and column within the provided grid. This is a core rule in Conway's Game of Life.","Calculates and returns the live neighbor count for the cell identified by its coordinates on the input grid. Essential for determining the next state of a cell.","Determines how many adjacent cells to a specific cell on the grid are currently alive. This integer count is used in the Game of Life update logic.","A utility for the Game of Life simulation. It inspects the 8 surrounding cells of a target cell and returns the total count of live ones.","For a given grid and cell coordinates, this function returns an integer representing the number of live cells in its Moore neighborhood."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/game_of_life/measurement.py","_update_grid","grid: Grid","return: Grid","Updates the entire Game of Life grid to its next generation based on Conway's rules (survival, death, birth). Returns the new grid state.","Calculates the next state of every cell in the input grid according to the rules of Game of Life and returns the modified grid.","Applies the Game of Life rules simultaneously to all cells in the current grid to produce the grid for the subsequent generation.","This function transitions the provided grid to its next iteration. It uses neighbor counts for each cell to determine its new state (active/inactive) and returns the updated grid.","Evolves the game grid by one time step (generation). It iterates through each cell, applies the Game of Life rules based on its neighbors, and returns the resulting grid."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/game_of_life/measurement.py","main","verbosity: int","return: None","Main entry point for the Game of Life simulation example. A verbosity parameter controls the logging output level during the simulation run.","Executes the Game of Life simulation demonstration. Verbosity determines how much information about the iteration and grid state is logged.","Orchestrates the Game of Life simulation, setting the verbosity for runtime messages. This example showcases iterative data generation for visualization.","Top-level function to run the Game of Life simulation. A verbosity argument influences the detail of console output regarding the simulation progress.","Initializes and starts the Game of Life simulation. Verbosity is used to set the logging level for tracking iteration and live cell data updates."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nivisa_dmm_measurement/measurement.py","measure","pin_name: str;measurement_type: Function;range: float;resolution_digits: float","return: tuple[float];measured_value: nims.DataType.Double","Performs a measurement using a DMM accessed via VISA. Targets a VISA resource name, configures the measurement function, expected signal range, and resolution. Returns the measured numerical value.","Controls a VISA-based DMM to take a reading. Specifies the device's resource identifier, the type of measurement (e.g., DC Volts), the signal's expected dynamic range, and desired precision. A single numerical reading is returned.","Initiates a DMM measurement through VISA. Inputs include the instrument's resource name, the measurement function to perform, the input signal's expected range, and digits of resolution for precision. Outputs the value from the DMM.","Measures a signal characteristic using a generic DMM interfaced with VISA. Instrument address, measurement function, signal range, and resolution settings define the test. The function returns the DMM's reading as a float.","Configures and queries a DMM via VISA for a specific measurement function (e.g., Resistance) on a given instrument resource. The range and resolution are set for accuracy. The obtained reading is the primary output."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nivisa_dmm_measurement/measurement.py","main","verbosity: int","return: None","Main entry point for a VISA DMM measurement example. Verbosity controls logging output during DMM operation and reporting of the reading.","Runs a VISA DMM measurement demonstration. A verbosity parameter adjusts runtime message detail concerning the measurement type and result.","Orchestrates a DMM measurement using VISA. A verbosity argument sets the logging level for instrument communication and data acquisition steps.","Top-level function for a VISA DMM example. Verbosity dictates console output for monitoring the measurement process and the final reading.","Initializes and executes a VISA-based DMM measurement sequence. Verbosity controls logging detail for the configured measurement function and obtained reading."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidmm_measurement/measurement.py","measure","pin_name: str;measurement_type: Function;range: float;resolution_digits: float","return: tuple[float, bool, float];measured_value: nims.DataType.Double;signal_out_of_range: nims.DataType.Boolean;absolute_resolution: nims.DataType.Double","Performs a measurement using an NI-DMM. Configures the measurement function on a specified channel, sets the expected signal range and resolution. Returns the reading, an out-of-range flag, and the actual resolution.","Utilizes an NI-DMM to acquire a reading. Takes the DMM channel, measurement function, signal range, and resolution settings. Outputs include the reading, an out-of-range status, and the effective absolute resolution.","Initiates a measurement with an NI-DMM instrument. Key parameters are channel, measurement function, input range, and desired resolution. Returns a tuple containing the reading, an out-of-range boolean, and achieved absolute resolution.","Measures a signal using NI-DMM driver. The channel identifies the input. Measurement function, range, and resolution configure the acquisition. Results provided are the reading, an out-of-range indicator, and absolute resolution.","Configures and reads from an NI-DMM. Specifies channel, measurement function (e.g., Resistance), range, and resolution. Outputs the reading, an out-of-range flag, and the actual absolute resolution of the measurement."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidmm_measurement/measurement.py","main","verbosity: int","return: None","Main execution function for an NI-DMM measurement example. A verbosity setting controls log message detail regarding the reading and out-of-range status.","Entry point for demonstrating NI-DMM capabilities. Verbosity adjusts runtime information displayed during measurement execution and result logging.","Orchestrates an NI-DMM measurement process. A verbosity parameter dictates logging output for instrument setup, data acquisition, and reporting of the reading and its absolute resolution.","Top-level function for an NI-DMM example. Uses a verbosity input to manage log message detail related to the measurement and its status (e.g., if out of range).","Initializes and runs an NI-DMM measurement. Verbosity controls how much information about the configured measurement function, the reading, and its absolute resolution is logged."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidcpower_source_dc_voltage_with_multiplexer/measurement.py","measure","pin_name: str;voltage_level: float;voltage_level_range: float;current_limit: float;current_limit_range: float;source_delay: float","return: tuple[float, float];voltage_measurement: nims.DataType.Double;current_measurement: nims.DataType.Double","Sources a DC voltage on a specified channel (often a multiplexer output) using an SMU. Configures voltage output level, its range, current sourcing limit, its range, and a settling delay. Returns sensed voltage and current from the SMU.","Controls an SMU to output a specific voltage on a channel, respecting range settings and current limits. After a programmed delay, it measures and returns the actual voltage and current.","Initiates a source and measure operation on an SMU, targeting a channel connected via a multiplexer. Sets voltage output within a range, current limit within its range, and applies a delay. Outputs are sensed voltage and current.","Applies a DC stimulus (voltage, current limit) to a DUT through a specified channel using an SMU. Range and delay parameters fine-tune the operation. Reads back and returns sensed voltage and current.","Configures an SMU to source a defined voltage on a channel with specified voltage range, current limit, current limit range, and source delay. It then performs a sense operation, returning measured voltage and current."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidcpower_source_dc_voltage_with_multiplexer/measurement.py","_wait_for_nidcpower_event","channels: nidcpower.session._SessionBase;cancellation_event: threading.Event;event_id: nidcpower.enums.Event;timeout: float","return: None","Waits for a specific event to be signaled by the SMU channels. Monitors a cancellation input and respects a timeout to prevent indefinite blocking during SMU operation.","A synchronization utility for SMU instruments. Pauses execution until a specified event occurs on the given channels, or a cancellation is set, or a timeout expires. Ensures SMU events are processed.","Blocks program flow until a particular SMU event is received from the instrument channels. Includes cancellation handling and a timeout mechanism for robust SMU sequence control.","This helper function polls SMU channels for a particular event. Incorporates a cancellation input for interruption and a timeout for SMU operations that might hang.","Manages waiting for SMU instrument channels to signal a specific event. The wait is interruptible by a cancellation input and bounded by a timeout, crucial for synchronized SMU test steps."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidcpower_source_dc_voltage_with_multiplexer/measurement.py","main","verbosity: int","return: None","Main entry for an SMU example, sourcing DC voltage possibly through a multiplexer. Verbosity adjusts logging for sensed voltage and current.","Runs an SMU demonstration, focusing on sourcing a voltage and reading back sensed voltage and current. Verbosity controls log detail.","Orchestrates an SMU test, setting output voltage and current limits. Verbosity manages output for SMU operations and resulting voltage/current measurements.","Top-level function for an SMU with multiplexer example. Verbosity influences logging of SMU configuration (voltage/current ranges) and measurements.","Initializes and executes an SMU voltage sourcing task. Verbosity sets logging for the applied voltage, source delay, and the voltage/current feedback."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/niswitch_control_relays/measurement.py","measure","relay_names: str;close_relays: bool","return: tuple[()]","Controls relays on a switch device. Takes a string of relay identifiers and a boolean to either connect or disconnect the specified paths. Confirms completion.","Manages switch relay states. Based on a boolean flag, it either closes or opens the relays listed by their identifiers. Used for configuring signal paths in an ATE system.","Operates relays on a switch module. Relay identifiers target specific relays, and a boolean determines the action (close or open). Confirms operation with a return.","A T&M function for switch relay manipulation. Parses relay identifiers and applies the state defined by a boolean (True for connect, False for disconnect) to each specified relay.","Sets the state of specified relays on a switch module. If a boolean flag is true, paths are connected; otherwise, they are opened. Essential for routing test signals."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/niswitch_control_relays/measurement.py","main","verbosity: int","return: None","Main entry point for a switch relay control example. Verbosity controls logging for messages about relay identifiers and their states.","Executes a switch relay control demonstration. A verbosity parameter adjusts runtime message detail regarding relay operations on specified relays.","Orchestrates a switch example, demonstrating control of specified relays. A verbosity argument sets the logging level for the switch operations.","Top-level function to run a switch relay control test. Verbosity input influences console output detail for relay connection/disconnection actions.","Initializes and runs a switch control sequence. Verbosity is used to set the desired logging level for actions performed on specified relays based on a boolean state."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidcpower_source_dc_voltage/measurement.py","measure","pin_names: Iterable[str];voltage_level: float;voltage_level_range: float;current_limit: float;current_limit_range: float;source_delay: float","return: tuple[list[int], list[str], list[float], list[float], list[bool]];measurement_sites: nims.DataType.Int32Array1D;measurement_pin_names: nims.DataType.StringArray1D;voltage_measurements: nims.DataType.DoubleArray1D;current_measurements: nims.DataType.DoubleArray1D;in_compliance: nims.DataType.BooleanArray1D","Sources a DC voltage on multiple specified channels using an SMU. Configures voltage output level, its range, current sourcing limit, its range, and a settling delay. Returns site identifiers, channel names, sensed voltages, currents, and compliance status for each channel.","This SMU function applies a specific voltage to a list of channels. It sets voltage range, current limit with its range, and a source delay. Outputs include per-channel sensed voltages, currents, compliance flags, along with site and channel identifiers.","Performs multi-channel DC voltage sourcing and measurement with an SMU. Inputs define channels, voltage level, voltage range, current limit, current limit range, and source delay. Outputs detailed results including site/channel info, sensed voltages, currents, and compliance states.","Drives multiple channels with a specified voltage and current limit using an SMU. Range and delay parameters apply. Collects and returns sensed voltages, currents, and compliance status for all identified sites and channels.","Configures an SMU to source a defined voltage across multiple channels. Settings include voltage range, current limit, current limit range, and source delay. Measures and returns arrays of sensed voltages, currents, and compliance states, correlated by site and channel names."
"/home/sMain entry for an SMU DC voltage source example. Verbosity controls logging of sensed voltages, currents, and compliance status.ujain/Desktop/dev/matchthecolumn/src/python_examples/nidcpower_source_dc_voltage/measurement.py","_wait_for_event","channels: nidcpower.session._SessionBase;cancellation_event: threading.Event;event_id: nidcpower.enums.Event;timeout: float","return: None","Waits for a specific SMU event on the provided instrument channels. Handles cancellation requests and a timeout for robust SMU sequencing.","Synchronization primitive for SMU channels. Pauses until a defined event is detected, or cancellation occurs, or a timeout is reached. Ensures SMU operations are correctly timed.","Blocks until a specific SMU event is signaled by the channels. Incorporates cancellation handling and timeout for reliable control flow in SMU test programs.","Helper function to monitor SMU channels for a given event. Allows interruption via a cancellation request and prevents indefinite wait with a timeout. Critical for SMU event handling.","Manages waiting for SMU channels to emit a specific event. The wait can be cut short by a cancellation request or a timeout, essential for synchronized multi-channel SMU tests."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidcpower_source_dc_voltage/measurement.py","_log_measurements","measured_sites: Iterable[int];measured_pins: Iterable[str];measured_values: Iterable[_Measurement]","return: None","Logs detailed SMU measurement results. Iterates through site identifiers, channel names, and corresponding sensed values (containing voltage and current) for display or recording.","Utility to output SMU measurement data. It takes site identifiers, channel names, and the sensed values (which include voltage/current pairs) and formats them for logging.","Displays or records results from an SMU operation. Processes lists of site identifiers, channel names, and their associated sensed values (voltage and current readings).","A helper for reporting SMU data. Takes site IDs, channel names, and structured sensed values to provide a comprehensive log of the sourcing/measuring operation.","Prints or saves detailed feedback from an SMU. Inputs are iterables of site identifiers, channel names, and sensed values (each item containing voltage and current). Useful for debugging multi-site tests."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidcpower_source_dc_voltage/measurement.py","main","verbosity: int","return: None","Main entry for an SMU DC voltage source example. Verbosity controls logging of sensed voltages, currents, and compliance status.","Runs an SMU demonstration for sourcing a defined voltage across multiple channels. Verbosity adjusts log detail for sensed voltages and currents.","Orchestrates an SMU test, setting voltage level and current limit for specified channels. Verbosity manages output for SMU operations and results like compliance state.","Top-level function for SMU multi-channel voltage sourcing. Verbosity influences logging of settings (like voltage range) and per-channel sensed voltages.","Initializes and executes an SMU voltage sourcing task on multiple channels. Verbosity sets logging detail for applied voltage, source delay, and the arrays of sensed voltages, currents, and compliance states."
