File Path,Function,Input Parameters,Output Parameters,Description 1,Description 2,Description 3,Description 4,Description 5
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/sample_measurement/measurement.py","main","verbosity: int","return: None","Entry point for a sample measurement script, controlling logging output with the `verbosity` parameter. Useful for demonstrating data type handling.","Runs the main logic of the sample measurement example, where `verbosity` adjusts the detail of diagnostic messages related to processing various input types.","This function orchestrates the sample measurement test, setting the `verbosity` for runtime information. It showcases input and output parameter mapping.","Top-level function for the sample measurement demonstration. The `verbosity` argument sets the log level for observing data flow and type conversions.","Initializes and executes the sample measurement example, which is designed to test the handling of diverse data types. `verbosity` controls logging detail."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/sample_measurement/measurement.py","cancel_callback","","return: None","A callback function designed to handle cancellation requests during a measurement process. It takes no input parameters and returns None.","This function is invoked when a test sequence or measurement operation needs to be prematurely terminated, ensuring a graceful shutdown.","Provides a mechanism to interrupt an ongoing measurement. This `cancel_callback` is registered and called by the system upon a cancellation signal.","Placeholder or actual implementation for a cancellation event handler. It's triggered to stop a running test or data acquisition.","A simple callback function that signals a stop or cancellation. It has no direct inputs from the measurement flow and produces no direct output values."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidaqmx_analog_input/measurement.py","measure","pin_name: str;sample_rate: float;number_of_samples: int","return: tuple[list[float]];acquired_samples: nims.DataType.DoubleArray1D","Acquires a set of analog voltage samples from a specified `pin_name` using NI-DAQmx. The acquisition is configured with a `sample_rate` (in Samples/sec) and a specific `number_of_samples` to collect. Returns the `acquired_samples` as a 1D array of doubles.","This function performs an analog input measurement. It reads `number_of_samples` from the channel connected to `pin_name` at the given `sample_rate`. The output is a tuple containing `acquired_samples`.","Initiates a finite analog data acquisition on the DAQ device. Specifies the input `pin_name`, the `sample_rate` for the ADC, and the `number_of_samples` in the record. The `acquired_samples` are returned for analysis.","Measures analog voltage on a single `pin_name`. Key acquisition parameters are `sample_rate` and `number_of_samples`. The function outputs the `acquired_samples` list.","Configures an NI-DAQmx task to read `number_of_samples` from an analog input `pin_name` at a defined `sample_rate`. The result, `acquired_samples`, is returned as a list of floating-point numbers representing voltage readings."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidaqmx_analog_input/measurement.py","_log_measured_values","samples: list[float];max_samples_to_display: int","return: None","Logs a subset of the acquired analog `samples` to the console or log file. The `max_samples_to_display` parameter limits the number of voltage readings printed for brevity.","Utility function to display or record measured voltage `samples`. It prints up to `max_samples_to_display` from the input `samples` list for quick verification or debugging.","Outputs a portion of the measured data. Takes the full list of `samples` and an integer `max_samples_to_display` to control how many data points are shown.","A helper function for logging purposes. It takes the ADC `samples` and `max_samples_to_display` to provide a snapshot of the acquired analog signal.","Prints a limited number of `samples` from an analog input acquisition to aid in debugging or immediate data review, controlled by `max_samples_to_display`."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidaqmx_analog_input/measurement.py","main","verbosity: int","return: None","Main execution function for the NI-DAQmx analog input example. The `verbosity` setting controls the level of detail in log messages during the voltage acquisition.","Entry point for demonstrating analog data acquisition using NI-DAQmx. `verbosity` adjusts the amount of runtime information displayed.","Orchestrates the NI-DAQmx analog input measurement process. The `verbosity` parameter dictates the logging output for the data acquisition steps.","Top-level function for the NI-DAQmx analog input example. It uses the `verbosity` input to manage the detail of log messages.","Initializes and runs the NI-DAQmx analog input measurement. `verbosity` controls how much information about the `acquired_samples` and process is logged."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidaqmx_analog_input/measurement.py","cancel_callback","","return: None","A callback function triggered to cancel an ongoing NI-DAQmx acquisition task. It does not take specific measurement parameters and returns no data.","Handles cancellation requests for the NI-DAQmx analog input operation, ensuring any active DAQ tasks are properly stopped.","This function provides a clean interruption mechanism for the analog input measurement sequence. Invoked when a cancellation is requested.","A `cancel_callback` specifically for NI-DAQmx. It's responsible for halting the data acquisition process when a stop signal is received.","Simple callback to signal cancellation of the NI-DAQmx measurement. It's parameter-less and does not return a value, focusing on side effects like stopping a task."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/game_of_life/measurement.py","measure","width: int;height: int;update_interval_msec: int;max_generations: int","return: Generator[tuple[xydata_pb2.DoubleXYData, int], None, None];game_of_life: nims.DataType.DoubleXYData;generation: nims.DataType.UInt32","Simulates Conway's Game of Life on a grid of specified `width` and `height`. The simulation progresses for `max_generations`, updating at `update_interval_msec`. Yields `game_of_life` (XY data of live cells) and current `generation` number at each step.","This function runs a Game of Life simulation. It takes grid dimensions (`width`, `height`), refresh rate `update_interval_msec`, and total `max_generations`. The generator returns `game_of_life` cell coordinates and the `generation` count iteratively.","Generates successive states of Conway's Game of Life. Inputs define the board `width` and `height`, the `update_interval_msec` for visualization, and the simulation length `max_generations`. Output per iteration includes `game_of_life` data and the `generation` index.","Performs a cellular automaton simulation (Game of Life). Parameters `width`, `height` set the grid size, `update_interval_msec` controls speed, and `max_generations` defines duration. It yields `game_of_life` (live cell data) and `generation` number.","A T&M style wrapper for simulating Game of Life. It initializes a `width` x `height` board, runs for `max_generations` with an `update_interval_msec`. The `game_of_life` output (XY plot data) and `generation` are yielded for live visualization."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/game_of_life/measurement.py","_initialize_xydata_and_frame","width: int;height: int","return: xydata_pb2.DoubleXYData","Initializes an XY data structure (`xydata_pb2.DoubleXYData`) for representing the Game of Life grid of given `width` and `height`. Used for plotting live cells.","Creates and configures an `xydata_pb2.DoubleXYData` object based on the simulation `width` and `height`. This structure will hold the coordinates of active cells for display.","Helper function to set up the data container for Game of Life visualization. Takes `width` and `height` of the grid and returns an empty `xydata_pb2.DoubleXYData` object.","Prepares the `xydata_pb2.DoubleXYData` frame for the Game of Life visualization, defining its boundaries based on the input `width` and `height`.","Internal function to allocate and initialize the `xydata_pb2.DoubleXYData` structure used to transfer cell coordinates from the simulation with `width` and `height` to a plotting utility."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/game_of_life/measurement.py","_initialize_grid_with_seeded_data","rows: int;cols: int;probability: float","return: Grid","Initializes the Game of Life `Grid` with a specified number of `rows` and `cols`, populating cells randomly based on the given `probability` of a cell being alive.","Creates a new `Grid` of size `rows` by `cols` and seeds it with initial live cells. Each cell has a `probability` of starting alive, used for starting the simulation.","Sets up the initial state of the Game of Life `Grid`. Dimensions are `rows` and `cols`, and `probability` determines the density of the initial random pattern.","Helper to create and populate the game `Grid`. It takes `rows`, `cols` for size, and a `probability` factor to randomly set initial live cells before the simulation starts.","Constructs the initial `Grid` for the Game of Life. The grid has `rows` and `cols`, and cells are activated based on a `probability`, returning the seeded `Grid`."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/game_of_life/measurement.py","_initialize_grid","rows: int;cols: int","return: Grid","Initializes an empty Game of Life `Grid` with a specified number of `rows` and `cols`. All cells are initially dead.","Creates a new `Grid` object with dimensions defined by `rows` and `cols`. This grid is returned with all cell states set to dead, ready for population.","Sets up a blank `Grid` for the Game of Life simulation, with the specified `rows` and `cols`. No cells are alive in this initial state.","Helper function to create an empty game `Grid` of size `rows` x `cols`. This is often a precursor to seeding it with a pattern.","Constructs and returns a `Grid` structure with the given `rows` and `cols`, where every cell's initial state is inactive (dead)."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/game_of_life/measurement.py","_count_neighbors","grid: Grid;row: int;col: int","return: int","Counts the number of live neighbors for a specific cell at (`row`, `col`) within the given `grid`. This is a core rule in Conway's Game of Life.","Calculates and returns the live neighbor count for the cell identified by `row` and `col` coordinates on the input `grid`. Essential for determining the next state of a cell.","Determines how many adjacent cells to the cell at `grid[row][col]` are currently alive. This integer count is used in the Game of Life update logic.","A utility function for the Game of Life simulation. It inspects the 8 surrounding cells of `grid[row][col]` and returns the total count of live ones.","For a given `Grid` and cell coordinates (`row`, `col`), this function returns an integer representing the number of live cells in its Moore neighborhood."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/game_of_life/measurement.py","_update_grid","grid: Grid","return: Grid","Updates the entire Game of Life `grid` to its next generation based on Conway's rules (survival, death, birth). Returns the new `Grid` state.","Calculates the next state of every cell in the input `grid` according to the rules of Game of Life and returns the modified `Grid`.","Applies the Game of Life rules simultaneously to all cells in the current `grid` to produce the `Grid` for the subsequent generation.","This function transitions the provided `grid` to its next iteration. It uses neighbor counts for each cell to determine its new state (alive/dead) and returns the updated `Grid`.","Evolves the game `grid` by one time step (generation). It iterates through each cell, applies the Game of Life rules based on its neighbors, and returns the resulting `Grid`."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/game_of_life/measurement.py","main","verbosity: int","return: None","Main entry point for the Game of Life simulation example. The `verbosity` parameter controls the logging output level during the simulation run.","Executes the Game of Life simulation demonstration. `verbosity` determines how much information about the `generation` and `game_of_life` state is logged.","Orchestrates the Game of Life simulation, setting the `verbosity` for runtime messages. This example showcases iterative data generation.","Top-level function to run the Game of Life simulation. The `verbosity` argument influences the detail of console output regarding the simulation progress.","Initializes and starts the Game of Life simulation. `verbosity` is used to set the logging level for tracking `generation` and `game_of_life` updates."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nivisa_dmm_measurement/measurement.py","measure","pin_name: str;measurement_type: Function;range: float;resolution_digits: float","return: tuple[float];measured_value: nims.DataType.Double","Performs a measurement using a DMM (Digital Multimeter) accessed via NI-VISA. It targets a `pin_name` (VISA resource name), configures the `measurement_type` (e.g., DC Volts), `range`, and `resolution_digits`. Returns the `measured_value`.","This function controls a VISA-based DMM to take a reading. It specifies the device by `pin_name`, the `measurement_type` (like AC Current), the expected `range` of the signal, and the desired `resolution_digits`. The single `measured_value` is returned.","Initiates a DMM measurement through NI-VISA. Inputs include the instrument's `pin_name`, the `measurement_type` to perform, the input signal `range`, and `resolution_digits` for precision. Outputs the `measured_value` from the DMM.","Measures a signal characteristic using a generic DMM interfaced with NI-VISA. Parameters `pin_name`, `measurement_type`, `range`, and `resolution_digits` define the test. The function returns the `measured_value` as a float.","Configures and queries a DMM via NI-VISA for a specific `measurement_type` (e.g., Resistance) on `pin_name`. The `range` and `resolution_digits` are set for accuracy. The obtained `measured_value` is the primary output."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nivisa_dmm_measurement/measurement.py","main","verbosity: int","return: None","Main entry point for the NI-VISA DMM measurement example. `verbosity` controls the logging output level during the DMM operation and `measured_value` reporting.","Runs the NI-VISA DMM measurement demonstration. The `verbosity` parameter adjusts the detail of runtime messages concerning the `measurement_type` and result.","Orchestrates the DMM measurement using NI-VISA. The `verbosity` argument sets the logging level for instrument communication and data acquisition steps.","Top-level function for the NI-VISA DMM example. `verbosity` dictates the console output for monitoring the measurement process and the final `measured_value`.","Initializes and executes the NI-VISA based DMM measurement sequence. `verbosity` is used to control the logging detail for the configured `measurement_type` and obtained `measured_value`."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidmm_measurement/measurement.py","measure","pin_name: str;measurement_type: Function;range: float;resolution_digits: float","return: tuple[float, bool, float];measured_value: nims.DataType.Double;signal_out_of_range: nims.DataType.Boolean;absolute_resolution: nims.DataType.Double","Performs a measurement using an NI-DMM. It configures the `measurement_type` (e.g., DC Voltage) on the specified `pin_name` (channel), sets the `range` and `resolution_digits`. Returns the `measured_value`, a `signal_out_of_range` flag, and the `absolute_resolution`.","This function utilizes an NI-DMM to acquire a reading. It takes the `pin_name` (DMM channel), `measurement_type`, signal `range`, and `resolution_digits`. Outputs include the `measured_value`, `signal_out_of_range` status, and the effective `absolute_resolution`.","Initiates a measurement with an NI-DMM instrument. Key parameters are `pin_name`, `measurement_type`, input `range`, and desired `resolution_digits`. The function returns a tuple containing the `measured_value`, `signal_out_of_range` boolean, and `absolute_resolution` achieved.","Measures a signal using NI-DMM driver. The `pin_name` identifies the input. `measurement_type`, `range`, and `resolution_digits` configure the acquisition. Results provided are `measured_value`, `signal_out_of_range` indicator, and `absolute_resolution`.","Configures and reads from an NI-DMM. Specifies `pin_name`, `measurement_type` (e.g., Resistance), `range`, and `resolution_digits`. The function outputs the `measured_value`, a `signal_out_of_range` flag, and the actual `absolute_resolution` of the measurement."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidmm_measurement/measurement.py","main","verbosity: int","return: None","Main execution function for the NI-DMM measurement example. The `verbosity` setting controls the detail of log messages regarding the `measured_value` and `signal_out_of_range` status.","Entry point for demonstrating NI-DMM capabilities. `verbosity` adjusts the amount of runtime information displayed during the `measurement_type` execution and result logging.","Orchestrates the NI-DMM measurement process. The `verbosity` parameter dictates the logging output for instrument setup, data acquisition, and reporting of `measured_value` and `absolute_resolution`.","Top-level function for the NI-DMM example. It uses the `verbosity` input to manage the detail of log messages related to the measurement and its status (`signal_out_of_range`).","Initializes and runs the NI-DMM measurement. `verbosity` controls how much information about the configured `measurement_type`, `measured_value`, and `absolute_resolution` is logged."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidcpower_source_dc_voltage_with_multiplexer/measurement.py","measure","pin_name: str;voltage_level: float;voltage_level_range: float;current_limit: float;current_limit_range: float;source_delay: float","return: tuple[float, float];voltage_measurement: nims.DataType.Double;current_measurement: nims.DataType.Double","Sources a DC voltage on a specified `pin_name` (often a multiplexer channel) using an NI-DCPOWER instrument. Configures `voltage_level`, `voltage_level_range`, `current_limit`, `current_limit_range`, and a `source_delay`. Returns `voltage_measurement` and `current_measurement` from the SMU.","This function controls an NI SMU to output a `voltage_level` on `pin_name`, respecting `voltage_level_range` and `current_limit` (with `current_limit_range`). After `source_delay`, it measures and returns `voltage_measurement` and `current_measurement`.","Initiates a source and measure operation on an NI-DCPOWER SMU, targeting a `pin_name` connected via a multiplexer. Sets `voltage_level` within `voltage_level_range`, `current_limit` within `current_limit_range`, and applies `source_delay`. Outputs are sensed `voltage_measurement` and `current_measurement`.","Applies a DC stimulus (`voltage_level`, `current_limit`) to a DUT through `pin_name` using NI-DCPOWER. Parameters `voltage_level_range`, `current_limit_range`, and `source_delay` fine-tune the operation. The function reads back `voltage_measurement` and `current_measurement`.","Configures an NI-DCPOWER supply to source `voltage_level` on `pin_name` with specified `voltage_level_range`, `current_limit`, `current_limit_range`, and `source_delay`. It then performs a sense operation, returning `voltage_measurement` and `current_measurement`."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidcpower_source_dc_voltage_with_multiplexer/measurement.py","_wait_for_nidcpower_event","channels: nidcpower.session._SessionBase;cancellation_event: threading.Event;event_id: nidcpower.enums.Event;timeout: float","return: None","Waits for a specific `event_id` (e.g., SourceComplete) to be signaled by the NI-DCPOWER `channels`. Monitors a `cancellation_event` and respects a `timeout` to prevent indefinite blocking during SMU operation.","A synchronization utility for NI-DCPOWER. It pauses execution until the specified `event_id` occurs on the given `channels`, or a `cancellation_event` is set, or the `timeout` expires. Ensures SMU events are processed.","Blocks program flow until an NI-DCPOWER `event_id` is received from the instrument `channels`. Includes `cancellation_event` handling and a `timeout` mechanism for robust SMU sequence control.","This helper function polls the NI-DCPOWER `channels` for a particular `event_id`. It incorporates a `cancellation_event` for interruption and a `timeout` for SMU operations that might hang.","Manages waiting for NI-DCPOWER instrument `channels` to signal an `event_id`. The wait is interruptible by a `cancellation_event` and bounded by a `timeout`, crucial for synchronized SMU test steps."
